fundindex,Conditional Alpha,Rank
17,-0.5696855788502114,1
6,-0.5741035876938924,2
3,-0.5751943943149971,3
16,-0.575371941577,4
8,-0.5761890603262597,5
2,-0.5764549646993591,6
14,-0.5765708478990104,7
4,-0.5766446650102579,8
7,-0.5767504442663121,9
15,-0.5768553805527397,10
1,-0.576977562307281,11
10,-0.5770472995001336,12
12,-0.5776407097822542,13
9,-0.5780058426731587,14
5,-0.5796669066747684,15
11,-0.579858738047994,16
13,-0.5823836016760402,17
