PERMNO,QNO,MOM_RANK,FRET1
10043,61.0,1,0.12000045777776
10043,62.0,1,0.071429768588578
10043,63.0,2,-0.0416663005208124
10043,64.0,1,-0.0986078077610501
10043,65.0,2,0.0837441256219149
10043,66.0,2,0.0545452831471044
10043,67.0,3,1.8980000016100007e-08
10043,68.0,3,0.0034483196762562
10043,69.0,5,0.116228592802777
10043,70.0,4,0.5402739888585371
10043,71.0,7,0.1479591721979405
10043,72.0,9,0.1578663087143141
10043,73.0,9,-0.0465111260753483
10043,74.0,9,-0.1707317439025
10043,75.0,6,0.1764699043112032
10043,76.0,6,0.2156256958507751
10043,77.0,7,
10044,39.0,9,-0.1557787000701842
10044,40.0,9,0.0178576991331032
10044,52.0,4,4.60887999986781e-07
10044,53.0,7,-0.0681815675991752
10044,54.0,3,1.0
10044,55.0,8,0.2926816226592936
10044,56.0,9,-0.0754719123293209
10044,57.0,9,0.0510205665305598
10044,58.0,9,-0.0485437790150418
10044,59.0,6,0.1020409258878338
10044,60.0,5,0.0462965373607953
10044,61.0,6,0.2743367277762463
10044,62.0,7,-0.04166620304
10044,63.0,6,-0.3043476001183608
10044,64.0,1,-0.3124997499999999
10044,65.0,0,0.3939394801462152
10044,66.0,0,-0.3695644102491341
10044,67.0,0,-0.2068969291705759
10044,71.0,1,-0.145631197087375
10044,72.0,2,0.1590910967925334
10044,73.0,5,0.0294104603392184
10044,78.0,4,-0.0208329506828783
10044,79.0,6,-0.1063825980339999
10044,80.0,4,0.035714172619
10047,29.0,0,0.2222223157087999
10047,52.0,0,-0.371428639409
10048,29.0,8,0.2209291930207289
10048,30.0,9,0.0857133149828661
10048,31.0,9,-0.0657893909966254
