PERMNO,mean_size,num_obs
11917,462304.06911999994,12
11923,40026.192708333336,12
11927,562845.0104166666,12
11938,158985.6875,12
11946,,0
11947,,0
11948,,0
11952,,0
11955,11843547.890625,12
11956,49917.6875,3
11970,5197529.6640625,12
11976,7690556.630185001,12
11983,9912425.114583334,12
11992,338059.9166666667,12
11995,284127.7291666667,12
11997,34128254.08626916,12
11998,502819.1614583333,12
12005,33029.0625,12
12008,1766588.0104166667,12
12010,49990.572916666664,12
12022,295774.1302083333,12
12031,55806.84375,12
12036,1846882.75,12
12052,11929215.015625,12
12060,509944001.09375,12
12062,2545432.1041666665,9
12063,354004.6614583333,12
12067,6452850.317708333,12
12068,1630914.7864583333,12
12072,295094.78125,12
12073,1272792.5345508333,12
12074,1429880.0677083333,12
12076,77558.47395833333,12
12079,40716823.057291664,12
12086,14287.515625,8
12099,124153.77083333333,12
12107,3405.03125,12
12117,88049.84375,4
12118,,0
12139,53382.682291666664,12
12140,3595305.0364583335,12
12146,,0
12149,238044.80625,10
12165,56445.3203125,12
12166,35092.25,2
12169,600479.6666666666,12
12171,329911.3125,1
12173,310511.78472222225,9
12174,168538.6484375,8
12175,77421.875,12
12177,,0
12189,28250.979166666668,12
12195,,0
12199,213234.02604166666,12
12202,84641.375,1
12209,26729.892045454544,11
12211,225400.02083333334,12
12214,47319.90625,2
12215,58193.49375,10
12217,140619.9375,12
12221,10471.382951428572,7
12226,73225.40104166667,12
12236,590275.5104166666,12
12248,30739.786458333332,12
12253,65778.2734375,12
12265,1304837.859375,12
12266,587662.5,2
12269,136408.65625,12
12275,6724.0625,3
12281,26629.75,12
12282,169632.4375,7
12319,1585944.7708333333,9
12320,92540.03125,12
12431,6765872.114583333,12
12458,271204.4166666667,12
12490,191735519.07291666,12
12491,39125.0,12
12503,2041526.8177083333,12
12504,94662.69791666667,12
12511,2405549.361111111,9
12546,2981336.738958333,12
12570,2835258.75,12
12650,4519037.140625,12
12749,3539733.8125,12
12781,390833.59375,12
13056,1011030.59375,12
13100,8475735.859375,12
13119,2631837.46875,12
13290,24901.864583333332,6
13303,942056.5520833334,12
13304,1155736.7152683332,12
13507,1609618.5729166667,12
13610,773796.125,12
13688,9425576.71875,12
13777,170288.5,6
13821,1187354.765625,12
13856,60298514.348958336,12
13901,64515531.786458336,12
13928,13359363.520833334,12
13936,259710.0,12
13987,10310.46875,12
14008,66758037.021555,12
14154,42521.375,3
14198,508971.1614583333,12
14219,214843.221875,10
14227,950394.7285216666,12
14277,42233960.44264334,12
14286,21256.283854166668,12
14322,11371496.839033334,12
14323,2158029.5052083335,12
14382,97867.37685833334,12
14461,33323.39087083333,12
14526,151276.6875,3
14541,55025792.09375,12
14593,14196399.239583334,12
14656,2470298.9583333335,12
14702,58835004.302083336,12
14736,29743219.666666668,12
14752,99904.28645833333,12
14761,,0
14795,980407.8697916666,12
14816,1202692.0677083333,12
14868,79085.671875,12
14891,7990860.890625,12
15035,356639.0729166667,12
15069,8023510.203125,12
