RET_RANK,t_statistic,p_value
0,-0.08511967000685204,0.9338463110597744
1,-0.029376950068403296,0.9771419813709303
2,0.4263971699917258,0.6788515456209524
3,0.833319277774762,0.4241212231274274
4,1.2335933970374013,0.24556243451564636
5,1.7690727950633707,0.1073137397123703
6,1.1735803996520184,0.26775684944206685
7,0.7823401664172965,0.4521419594558077
8,0.2832331778799276,0.7827749099812098
9,-0.015643015174391702,0.9878268894035002
