OVERALL_RANK,Intercept,MKT_Coef,Intercept_TValue,MSE,IR
0,0.01848880445875238,-0.1447127771837408,1.614879759424733,0.009575158521075607,0.18894519107101798
1,0.02097094099063671,-0.09442563223166929,1.9749612181616087,0.00823620957717138,0.23107567145205027
2,0.02441251231904748,-0.08856133739114487,2.3212822597407166,0.008079374563546321,0.2715961467327539
3,0.025922997227350638,-0.06473976022401141,2.49485431108535,0.007886580557933226,0.29190453453345494
4,0.02984267970123538,-0.010056959631806382,2.7797383762731087,0.0084193097201946,0.3252367215373743
5,0.031505033430748716,0.008138680183051333,2.8811797640615815,0.008734295367477465,0.33710563145858724
6,0.034004050531912494,0.03449509518288864,3.057394583183126,0.009035808510904277,0.3577232300594427
7,0.03505140622122055,0.07186403861031325,3.0536259091739284,0.009624716031450506,0.35728228526055195
8,0.04274153344130965,0.09511238110717138,3.531338269859186,0.01070114510805695,0.413175891419079
9,0.057477251717105986,0.2045566324237651,4.177368000063163,0.013829141282472417,0.48876307374553996
